route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
121,2,"121","MEISSNERA - OGRODY|OGRODY - MEISSNERA","MEISSNERA - Meissnera - Nowina - Szpitalna - OGRODY|OGRODY - Nowina - Meissnera - MEISSNERA",3,525252,FFFFFF
124,2,"124","SAFONY - INSTYTUT TECHNOLOGICZNO-PRZYRODNICZY|INSTYTUT TECHNOLOGICZNO-PRZYRODNICZY - SAFONY","SAFONY - Safony - Literacka - Koszalińska - Biskupińska - INSTYTUT TECHNOLOGICZNO-PRZYRODNICZY^S - kurs wykonywany tylko w dni nauki szkolnej |INSTYTUT TECHNOLOGICZNO-PRZYRODNICZY - Koszalińska - Literacka - Safony - SAFONY^S - kurs wykonywany tylko w dni nauki szkolnej ",3,525252,FFFFFF
145,2,"145","DWORZEC ZACHODNI - KACZA|KACZA - DWORZEC ZACHODNI","DWORZEC ZACHODNI - Zachodnia - Berwińskiego - Wyspiańskiego - Przybyszewskiego - Marcelińska - Bułgarska - Jugosłowiańska - Promienista - Mrągowska - Kacza - KACZA|KACZA - Mrągowska - Promienista - Jugosłowiańska - Bułgarska - Marcelińska - Reymonta - Wyspiańskiego - Zachodnia - DWORZEC ZACHODNI",3,525252,FFFFFF
146,2,"146","STARY STRZESZYN - BORANTA|BORANTA - STARY STRZESZYN","STARY STRZESZYN - Biskupińska - Strzeszyńska - Szarych Szeregów - Obornicka - Mateckiego - Stróżyńskiego - Szymanowskiego - Szeligowskiego - Wiechowicza - Stoińskiego - Łużycka - al. Praw Kobiet - Naramowicka - Boranta - BORANTA^L - kurs skrócony do przystanku: Os. Łokietka|BORANTA - Naramowicka - al. Praw Kobiet - Łużycka - Stoińskiego - Wiechowicza - Szeligowskiego - Szymanowskiego - Stróżyńskiego - Mateckiego - Obornicka - Szarych Szeregów - Strzeszyńska - Biskupińska - STARY STRZESZYN",3,525252,FFFFFF
148,2,"148","ŁAWICA - RONDO KAPONIERA|BAŁTYK - ŁAWICA","ŁAWICA - Złotowska - Brzechwy - Strzegomska - Marcelińska - Bułgarska - Bukowska - Zwierzyniecka - RONDO KAPONIERA|BAŁTYK - Bukowska - Bułgarska - Marcelińska - Strzegomska - Brzechwy - Bukowska - Perzycka - Złotowska - ŁAWICA",3,525252,FFFFFF
149,2,"149","GÓRCZYN PKM - DĘBIEC PKM|DĘBIEC PKM - GÓRCZYN PKM","GÓRCZYN PKM - Zgoda - Głogowska - Ostatnia - Bohaterów Westerplatte - Kołłątaja - Opolska - Jesionowa - Górecka - Czechosłowacka - Łozowa - 28 Czerwca 1956 r. - DĘBIEC PKM|DĘBIEC PKM - Łozowa - Czechosłowacka - Górecka - Jesionowa - Opolska - Kołłątaja - Bohaterów Westerplatte - Ostatnia - Głogowska - Zgoda - GÓRCZYN PKM",3,525252,FFFFFF
152,2,"152","DARZYBÓR - RONDO RATAJE|RONDO RATAJE - DARZYBÓR","DARZYBÓR - Borówki - Kobylepole - Piwna - Abpa Dymka - Szwajcarska - Kurlandzka - Inflancka - Piłsudskiego - Zamenhofa - Krzywoustego - RONDO RATAJE^R - kurs do przystanku Rondo Rataje na ul. Jana Pawła II|RONDO RATAJE - Jana Pawła II - Zamenhofa - Piłsudskiego - Inflancka - Kurlandzka - Szwajcarska - Abpa Dymka - Piwna - Kobylepole - Borówki - DARZYBÓR",3,525252,FFFFFF
154,2,"154","SPŁAWIE - RONDO RATAJE|RONDO RATAJE - SPŁAWIE","SPŁAWIE - Spławie - Gospodarska - Szczepankowo - Chartowo - Piaśnicka - Milczańska - Brneńska - Krzywoustego - RONDO RATAJE^S - kursy na odcinku Krzesiny - Spławie - tylko w dni nauki szkolnej|RONDO RATAJE - Jana Pawła II - Brneńska - Milczańska - Inflancka - Piaśnicka - Chartowo - Torowa - Ługańska - Szczepankowo - Gospodarska - Spławie - SPŁAWIE^A - kurs do  Krzesiny^S - w dni nauki szkolnej kurs wydłużony do przystanku: Krzesiny",3,525252,FFFFFF
156,2,"156","KRZYŻOWNIKI - OGRODY|OGRODY - KRZYŻOWNIKI","KRZYŻOWNIKI - Słupska - Sianowska - Dąbrowskiego - OGRODY|OGRODY - Szpitalna - Nowina - Dąbrowskiego - Sianowska - Słupska - KRZYŻOWNIKI",3,525252,FFFFFF
157,2,"157","MOGILEŃSKA - RONDO ŚRÓDKA|RONDO ŚRÓDKA - MOGILEŃSKA","MOGILEŃSKA - Pusta - Warszawska - Browarna - Abpa Dymka - Abpa Baraniaka - Jana Pawła II - RONDO ŚRÓDKA|RONDO ŚRÓDKA - Abpa Baraniaka - Abpa Dymka - Browarna - Światopełka - Warszawska - Pusta - MOGILEŃSKA",3,525252,FFFFFF
